address,company_name,job_name,pay,person_count,study,years
北京  ,牛电科技,自动化测试工程师,10k-15k,500-999人,本科,3-5年
北京 海淀区 上地,广联达,高级自动化测试工程师,15k-25k,1000-9999人,本科,5-10年
北京 朝阳区 望京,数衍科技,高级自动化测试工程师,15k-25k,100-499人,本科,3-5年
北京 朝阳区 北苑,优贝在线,自动化测试工程师,15k-30k,100-499人,本科,1-3年
北京 朝阳区 北苑,优贝在线,iOS自动化测试工程师,15k-30k,100-499人,本科,1-3年
北京 海淀区 知春路,龙猫数据,测试工程师,10k-15k,20-99人,本科,1-3年
北京 海淀区 上地,中国电信云,云平台自动化测试工程师,12k-24k,1000-9999人,本科,经验不限
北京 海淀区 五道口,启迪云控,高级自动化测试工程师,15k-30k,100-499人,本科,5-10年
北京 海淀区 五道口,启迪云控,车端高级自动化测试工程师,15k-28k,100-499人,本科,3-5年
北京 朝阳区 望京,数衍科技,自动化测试工程师,12k-20k,100-499人,本科,1-3年
北京 朝阳区 望京,数衍科技,高级自动化测试工程师,15k-30k,100-499人,本科,5-10年
北京 西城区 德胜门,木百里,高级测试开发工程师,25k-50k,,本科,5-10年
北京 海淀区 西北旺,百度,Android/ios高级开发测试工程师,18k-30k,10000人以上,本科,3-5年
北京 海淀区 西北旺,百度,高级测试开发工程师,15k-30k,10000人以上,本科,经验不限
北京 海淀区 西北旺,用友网络,高级自动化测试工程师,15k-25k,10000人以上,本科,3-5年
北京 海淀区 西北旺,百度,测试开发工程师,15k-30k,10000人以上,本科,1-3年
北京 朝阳区 三里屯,恒天财富,自动化测试工程师,10k-20k,1000-9999人,本科,3-5年
北京 海淀区 西北旺,百度,高级测试开发工程师,15k-30k,10000人以上,硕士,1-3年
北京 海淀区 四季青,联创世界,自动化测试工程师,11k-20k,100-499人,本科,3-5年
北京 朝阳区 酒仙桥,同程艺龙,自动化测试工程师,15k-25k,1000-9999人,本科,3-5年
北京 海淀区 中关村,好未来,SEG智慧教育（北京）- 自动化测试开发工程师,15k-30k,10000人以上,本科,3-5年
北京 海淀区 清河,小米,测试工程师,15k-30k,10000人以上,本科,1-3年
北京 朝阳区 望京,香格里拉酒店集团,自动化测试工程师,20k-30k,10000人以上,本科,5-10年
北京 顺义区 后沙峪,民航东北凯亚,自动化测试开发工程师,10k-15k,,本科,5-10年
